Municipality/Province,District,Address,Risk
北京市,北京市朝阳区呼家楼街道,金台里8号楼3单元某户,高风险
北京市,北京市朝阳区呼家楼街道,向军北里7号楼1门某户,高风险
北京市,北京市朝阳区朝外街道,99优选某房间,高风险
北京市,北京市朝阳区朝外街道,工体西路朝外便民早市旁新下四条垃圾楼某户,高风险
北京市,北京市朝阳区朝外街道,吉祥里115号楼某些户,高风险
北京市,北京市朝阳区朝外街道,三丰里12号楼6单元某户,高风险
北京市,北京市朝阳区朝外街道,三丰里25号楼2单元某户,高风险
北京市,北京市朝阳区朝外街道,山水铂宫B3某户,高风险
北京市,北京市朝阳区朝外街道,神路街39号日坛上街3号楼某户,高风险
北京市,北京市朝阳区双井街道,百子湾路32号苹果社区南区11A某户,高风险
北京市,北京市朝阳区双井街道,北汽摩北楼二层某些户,高风险
北京市,北京市朝阳区双井街道,垂杨柳南街2号某户,高风险
北京市,北京市朝阳区双井街道,富力城D51—B1—某房间,高风险
北京市,北京市朝阳区双井街道,广和东里中街1号某户,高风险
北京市,北京市朝阳区双井街道,广渠金茂府66号院地下二层保洁办公室,高风险
北京市,北京市朝阳区双井街道,广渠门外大街32栋6单元某房间,高风险
北京市,北京市朝阳区双井街道,汉庭酒店（北京站店）8层某些房间,高风险
北京市,北京市朝阳区双井街道,和平村F区2号楼某户,高风险
北京市,北京市朝阳区双井街道,黄木庄6号院2号楼1单元某户,高风险
北京市,北京市朝阳区双井街道,石韵浩庭4号楼1单元某户,高风险
北京市,北京市朝阳区双井街道,天力街19号院十号地某户,高风险
北京市,北京市朝阳区三里屯街道,白家庄西里2号楼某户,高风险
北京市,北京市朝阳区三里屯街道,锦绣园公寓b某户,高风险
北京市,北京市朝阳区三里屯街道,凯富温泉俱乐部12层某户,高风险
北京市,北京市朝阳区三里屯街道,北京市朝阳区中纺里5号楼1单元某户,高风险
北京市,北京市朝阳区管庄（地区）乡,管庄世通大厦E座某号,高风险
北京市,北京市朝阳区管庄（地区）乡,科技大学回民食堂10号楼后面某号,高风险
北京市,北京市朝阳区管庄（地区）乡,双桥路双桥东一巷平房13排,高风险
北京市,北京市朝阳区管庄（地区）乡,塔营北街3号院9号楼1单元某号,高风险
北京市,北京市朝阳区左家庄街道,西坝河东里12号楼6单元某户,高风险
北京市,北京市朝阳区左家庄街道,左家庄北里甲2号2单元某户,高风险
北京市,北京市朝阳区左家庄街道,左南里2号楼某户,高风险
北京市,北京市朝阳区垡头街道,翠城雅园社区226楼某户,高风险
北京市,北京市朝阳区垡头街道,翠城馨园307-1-某户,高风险
北京市,北京市朝阳区垡头街道,翠城馨园503-某户,高风险
北京市,北京市朝阳区垡头街道,东里社区东里东院13排某号,高风险
北京市,北京市朝阳区垡头街道,双合小区南街2号院1号楼1单元某户,高风险
北京市,北京市朝阳区垡头街道,垡头西里二区22号楼1单元某户,高风险
北京市,北京市朝阳区垡头街道,武基翠城馨园421号楼某号,高风险
北京市,北京市朝阳区垡头街道,垡头三区3号院12排某号,高风险
北京市,北京市朝阳区和平街街道,东土城路9号院3号楼2单元某户,高风险
北京市,北京市朝阳区酒仙桥街道,酒仙桥北路9号C1一层某户,高风险
北京市,北京市朝阳区酒仙桥街道,酒仙桥北路9号某户,高风险
北京市,北京市朝阳区酒仙桥街道,十街坊22号院某户,高风险
北京市,北京市朝阳区酒仙桥街道,星地中心某户,高风险
北京市,北京市朝阳区酒仙桥街道,一街坊6号某户,高风险
北京市,北京市朝阳区八里庄街道,八里庄八东社区A01某些户,高风险
北京市,北京市朝阳区八里庄街道,八里庄北里217号楼10层4单元某号,高风险
北京市,北京市朝阳区八里庄街道,甘露园南里20号楼某些户,高风险
北京市,北京市朝阳区八里庄街道,红庙路口柴家湾5号楼南侧飘HOME酒店某些房间,高风险
北京市,北京市朝阳区八里庄街道,十里堡爱这城2号楼4单元某户,高风险
北京市,北京市朝阳区八里庄街道,东恒时代2期A区2某户,高风险
北京市,北京市朝阳区首都机场街道,机场南路西里7号楼3单元某户,高风险
北京市,北京市朝阳区望京街道,坝北京顺园公园宿舍某些房间,高风险
北京市,北京市朝阳区望京街道,东亚中心公厕旁边的平房,高风险
北京市,北京市朝阳区望京街道,光华里19号楼4单元某户,高风险
北京市,北京市朝阳区望京街道,花家地西里三区居委会平房院内,高风险
北京市,北京市朝阳区望京街道,建外Soho西区12号楼地下室B1,高风险
北京市,北京市朝阳区望京街道,望花路西里20号楼某户,高风险
北京市,北京市朝阳区望京街道,西园四区422楼某户,高风险
北京市,北京市朝阳区望京街道,西园四区社区401号楼某户,高风险
北京市,北京市朝阳区建外街道,西大望路蓝堡国际公寓某户,高风险
北京市,北京市朝阳区亚运村街道,丝竹园社区1号楼3单元某户,高风险
北京市,北京市朝阳区东风（地区）乡,石佛营东里128号楼1单元某户,高风险
北京市,北京市朝阳区东风（地区）乡,高庙村118号,高风险
北京市,北京市朝阳区小红门（地区）乡,鸿博家园二期B区5号楼2单元某户,高风险
北京市,北京市朝阳区小红门（地区）乡,鸿博家园一期A区9号楼2单元、3单元某些户,高风险
北京市,北京市朝阳区十八里店（地区）乡,吕家营南里甲1号,高风险
北京市,北京市朝阳区十八里店（地区）乡,十里河村352号,高风险
北京市,北京市朝阳区十八里店（地区）乡,十里河村广客缘公寓某房间,高风险
