Municipality/Province,District,Address,Risk
北京市,北京市朝阳区呼家楼街道,呼家楼南里20号楼南单元某户,高风险
北京市,北京市朝阳区呼家楼街道,呼家楼小庄6号1号楼某户,高风险
北京市,北京市朝阳区呼家楼街道,金台路13号某户,高风险
北京市,北京市朝阳区呼家楼街道,金台西路2号院内民27楼某户,高风险
北京市,北京市朝阳区呼家楼街道,金台里8号楼3单元某户,高风险
北京市,北京市朝阳区呼家楼街道,向军北里7号楼1门某户,高风险
北京市,北京市朝阳区朝外街道,99优选某房间,高风险
北京市,北京市朝阳区朝外街道,工体西路朝外便民早市旁新下四条垃圾楼某户,高风险
北京市,北京市朝阳区朝外街道,吉祥里115号楼某些户,高风险
北京市,北京市朝阳区朝外街道,侨福芳草地北巷甲1号楼员工宿舍,高风险
北京市,北京市朝阳区朝外街道,日坛北路17号某户,高风险
北京市,北京市朝阳区朝外街道,日坛北路7号某户,高风险
北京市,北京市朝阳区朝外街道,三丰里12号楼6单元某户,高风险
北京市,北京市朝阳区朝外街道,三丰里25号楼2单元某户,高风险
北京市,北京市朝阳区朝外街道,山水铂宫B3某户,高风险
北京市,北京市朝阳区朝外街道,神路街39号日坛上街3号楼某户,高风险
北京市,北京市朝阳区朝外街道,日坛国际B三层,高风险
北京市,北京市朝阳区双井街道,百子湾路32号苹果社区南区11A某户,高风险
北京市,北京市朝阳区双井街道,北汽摩北楼二层某些户,高风险
北京市,北京市朝阳区双井街道,垂杨柳南街2号某户,高风险
北京市,北京市朝阳区双井街道,富力城D51—B1—某房间,高风险
北京市,北京市朝阳区双井街道,广和东里中街1号某户,高风险
北京市,北京市朝阳区双井街道,广渠金茂府66号院地下二层保洁办公室,高风险
北京市,北京市朝阳区双井街道,广渠门外大街32栋6单元某房间,高风险
北京市,北京市朝阳区双井街道,汉庭酒店（北京站店）8层某些房间,高风险
北京市,北京市朝阳区双井街道,和平村F区2号楼某户,高风险
北京市,北京市朝阳区双井街道,黄木庄6号院2号楼1单元某户,高风险
北京市,北京市朝阳区双井街道,石韵浩庭4号楼1单元某户,高风险
北京市,北京市朝阳区双井街道,天力街19号院十号地某户,高风险
北京市,北京市朝阳区三里屯街道,白家庄西里2号楼某户,高风险
北京市,北京市朝阳区三里屯街道,锦绣园公寓b某户,高风险
北京市,北京市朝阳区三里屯街道,凯富温泉俱乐部12层某户,高风险
